model,seed,horizon,forecast_origin,history_start,history_end,target_year,train_cutoff,topic_id,prediction,actual,predicted_growth,actual_growth
full,42,3,2019,2012,2019,2022,2019,agentic,0.03204791247844696,0.0,0.03204791247844696,0.0
full,42,3,2019,2012,2019,2022,2019,agents,2.785041093826294,23.0,-21.214958906173706,-1.0
full,42,3,2019,2012,2019,2022,2019,agricultural,13.172460556030273,30.0,-6.827539443969727,10.0
full,42,3,2019,2012,2019,2022,2019,ai chatbot,0.03204791247844696,7.0,0.03204791247844696,7.0
full,42,3,2019,2012,2019,2022,2019,ai in,0.9011003971099854,49.0,-8.098899602890015,40.0
full,42,3,2019,2012,2019,2022,2019,ai on,0.03204791247844696,0.0,0.03204791247844696,0.0
full,42,3,2019,2012,2019,2022,2019,ai-driven,0.03204791247844696,0.0,0.03204791247844696,0.0
full,42,3,2019,2012,2019,2022,2019,ai-enabled,0.03204791247844696,6.0,0.03204791247844696,6.0
full,42,3,2019,2012,2019,2022,2019,ai-generated,0.03204791247844696,16.0,0.03204791247844696,16.0
full,42,3,2019,2012,2019,2022,2019,ai-generated content,0.03204791247844696,0.0,0.03204791247844696,0.0
full,42,3,2019,2012,2019,2022,2019,ai-powered,0.03204791247844696,0.0,0.03204791247844696,0.0
full,42,3,2019,2012,2019,2022,2019,ai伦理,7.832056522369385,27.0,0.8320565223693848,20.0
full,42,3,2019,2012,2019,2022,2019,al jazeera,31.67302703857422,138.0,-139.32697296142578,-33.0
full,42,3,2019,2012,2019,2022,2019,al jazeera and,20.598676681518555,26.0,-16.401323318481445,-11.0
full,42,3,2019,2012,2019,2022,2019,al jazeera english,0.03204791247844696,16.0,0.03204791247844696,16.0
full,42,3,2019,2012,2019,2022,2019,al-jazeera,2.8145864009857178,17.0,-32.18541359901428,-18.0
full,42,3,2019,2012,2019,2022,2019,aleppo,0.03204791247844696,0.0,0.03204791247844696,0.0
full,42,3,2019,2012,2019,2022,2019,algorithmic,14.322508811950684,18.0,-0.6774911880493164,3.0
full,42,3,2019,2012,2019,2022,2019,algorithms,11.21513557434082,57.0,-3.7848644256591797,42.0
