model,seed,horizon,forecast_origin,history_start,history_end,target_year,train_cutoff,topic_id,prediction,actual,predicted_growth,actual_growth
full,42,3,2019,2012,2019,2022,2019,中国,106.4052505493164,600.0,-290.5947494506836,203.0
full,42,3,2019,2012,2019,2022,2019,国家,104.45343017578125,523.0,-288.54656982421875,130.0
full,42,3,2019,2012,2019,2022,2019,影响,107.44209289550781,563.0,-262.5579071044922,193.0
full,42,3,2019,2012,2019,2022,2019,挑战,102.64055633544922,597.0,-267.3594436645508,227.0
full,42,3,2019,2012,2019,2022,2019,text,106.17242431640625,565.0,-256.82757568359375,202.0
full,42,3,2019,2012,2019,2022,2019,challenges,101.67893981933594,553.0,-243.32106018066406,208.0
full,42,3,2019,2012,2019,2022,2019,east,59.868309020996094,419.0,-272.1316909790039,87.0
full,42,3,2019,2012,2019,2022,2019,gene,95.30636596679688,406.0,-232.69363403320312,78.0
full,42,3,2019,2012,2019,2022,2019,chinese,90.932861328125,325.0,-236.067138671875,-2.0
full,42,3,2019,2012,2019,2022,2019,land,96.69366455078125,380.0,-230.30633544921875,53.0
full,42,3,2019,2012,2019,2022,2019,社交媒体,98.37611389160156,452.0,-219.62388610839844,134.0
full,42,3,2019,2012,2019,2022,2019,应用,100.53981018066406,470.0,-216.46018981933594,153.0
full,42,3,2019,2012,2019,2022,2019,power,98.10028076171875,334.0,-211.89971923828125,24.0
full,42,3,2019,2012,2019,2022,2019,可持续,93.98314666748047,443.0,-216.01685333251953,133.0
full,42,3,2019,2012,2019,2022,2019,经济,103.36609649658203,467.0,-206.63390350341797,157.0
full,42,3,2019,2012,2019,2022,2019,road,97.81998443603516,555.0,-197.18001556396484,260.0
full,42,3,2019,2012,2019,2022,2019,经验,93.97517395019531,403.0,-201.0248260498047,108.0
full,42,3,2019,2012,2019,2022,2019,管理,102.7774887084961,413.0,-185.2225112915039,125.0
full,42,3,2019,2012,2019,2022,2019,全球,95.41999816894531,377.0,-190.5800018310547,91.0
full,42,3,2019,2012,2019,2022,2019,学习,102.78303527832031,564.0,-177.2169647216797,284.0
full,42,3,2019,2012,2019,2022,2019,change,95.70077514648438,386.0,-182.29922485351562,108.0
full,42,3,2019,2012,2019,2022,2019,视角,99.50960540771484,504.0,-175.49039459228516,229.0
full,42,3,2019,2012,2019,2022,2019,遗产旅行,82.9978256225586,324.0,-189.0021743774414,52.0
full,42,3,2019,2012,2019,2022,2019,地方,97.93592071533203,271.0,-164.06407928466797,9.0
full,42,3,2019,2012,2019,2022,2019,soft,88.96864318847656,268.0,-171.03135681152344,8.0
full,42,3,2019,2012,2019,2022,2019,action,59.17202377319336,281.0,-197.82797622680664,24.0
full,42,3,2019,2012,2019,2022,2019,real,94.7114486694336,378.0,-157.2885513305664,126.0
full,42,3,2019,2012,2019,2022,2019,state,82.16554260253906,261.0,-169.83445739746094,9.0
full,42,3,2019,2012,2019,2022,2019,diplomacy,97.35552215576172,422.0,-152.64447784423828,172.0
full,42,3,2019,2012,2019,2022,2019,mental,100.0206527709961,323.0,-147.9793472290039,75.0
full,42,3,2019,2012,2019,2022,2019,丝绸之路,91.92340087890625,543.0,-155.07659912109375,296.0
full,42,3,2019,2012,2019,2022,2019,post,89.81828308105469,461.0,-155.1817169189453,216.0
full,42,3,2019,2012,2019,2022,2019,formation,98.2309799194336,430.0,-145.7690200805664,186.0
full,42,3,2019,2012,2019,2022,2019,游客,87.47625732421875,347.0,-156.52374267578125,103.0
full,42,3,2019,2012,2019,2022,2019,branding,85.37693786621094,366.0,-154.62306213378906,126.0
full,42,3,2019,2012,2019,2022,2019,relations,93.42679595947266,183.0,-146.57320404052734,-57.0
full,42,3,2019,2012,2019,2022,2019,place,63.532630920410156,252.0,-174.46736907958984,14.0
full,42,3,2019,2012,2019,2022,2019,role,94.72797393798828,445.0,-142.27202606201172,208.0
full,42,3,2019,2012,2019,2022,2019,conflict,94.61825561523438,245.0,-141.38174438476562,9.0
full,42,3,2019,2012,2019,2022,2019,案例研究,88.00183868408203,228.0,-147.99816131591797,-8.0
full,42,3,2019,2012,2019,2022,2019,原真性,92.52555084228516,418.0,-135.47444915771484,190.0
full,42,3,2019,2012,2019,2022,2019,time,94.72222137451172,443.0,-132.27777862548828,216.0
full,42,3,2019,2012,2019,2022,2019,product,80.63502502441406,226.0,-144.36497497558594,1.0
full,42,3,2019,2012,2019,2022,2019,africa,86.7280502319336,242.0,-132.2719497680664,23.0
full,42,3,2019,2012,2019,2022,2019,sites,89.31383514404297,289.0,-128.68616485595703,71.0
full,42,3,2019,2012,2019,2022,2019,language,54.33841323852539,215.0,-156.6615867614746,4.0
full,42,3,2019,2012,2019,2022,2019,brand,78.58478546142578,328.0,-129.41521453857422,120.0
full,42,3,2019,2012,2019,2022,2019,silk,87.5666275024414,466.0,-116.4333724975586,262.0
full,42,3,2019,2012,2019,2022,2019,plan,58.291934967041016,244.0,-143.70806503295898,42.0
full,42,3,2019,2012,2019,2022,2019,可持续发展,85.69371032714844,279.0,-112.30628967285156,81.0
full,42,3,2019,2012,2019,2022,2019,the middle east,64.28096008300781,236.0,-131.7190399169922,40.0
full,42,3,2019,2012,2019,2022,2019,carrying,72.44062805175781,93.0,-122.55937194824219,-102.0
full,42,3,2019,2012,2019,2022,2019,效果,92.45645904541016,328.0,-102.54354095458984,133.0
full,42,3,2019,2012,2019,2022,2019,分析,87.30084228515625,212.0,-104.69915771484375,20.0
full,42,3,2019,2012,2019,2022,2019,reality,87.44351959228516,256.0,-103.55648040771484,65.0
full,42,3,2019,2012,2019,2022,2019,content,80.90534973144531,255.0,-109.09465026855469,65.0
